chart_id,logical_series,label,frequency,bde_path,mandatory_terms,optional_terms,exclude_terms,expected_dimension_1,expected_dimension_2,unit,selection_status,selected_series_id,review_comment
d04_spc_clp_vigente_plazo_residual,spc_plazo_Mayor a 2 años,SPC vigente Mayor a 2 años,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes por contraparte y plazo residual > Total,swap promedio camara|pesos|bancos|monto vigente|plazo residual,Mayor a 2 años|SPC vigente Mayor a 2 años,monto transado|uf|tasa externa|ois|basis,Mayor a 2 años,,MM USD,,,
d04_spc_clp_neto_contraparte,spc_neto_Interbancario,SPC neto Interbancario,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes netos > Montos vigentes netos por contraparte,swap promedio camara|pesos|bancos|monto vigente|neto|contraparte,Interbancario|SPC neto Interbancario,monto transado|uf|tasa externa|ois|basis,Interbancario,,MM USD,,,
d04_spc_clp_neto_contraparte,spc_neto_Residentes no bancos,SPC neto Residentes no bancos,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes netos > Montos vigentes netos por contraparte,swap promedio camara|pesos|bancos|monto vigente|neto|contraparte,Residentes no bancos|SPC neto Residentes no bancos,monto transado|uf|tasa externa|ois|basis,Residentes no bancos,,MM USD,,,
d04_spc_clp_neto_contraparte,spc_neto_No residentes,SPC neto No residentes,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos vigentes > Montos vigentes netos > Montos vigentes netos por contraparte,swap promedio camara|pesos|bancos|monto vigente|neto|contraparte,No residentes|SPC neto No residentes,monto transado|uf|tasa externa|ois|basis,No residentes,,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_<= 1y,SPC transado Interbancario <= 1y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,<= 1y|Interbancario|SPC transado Interbancario <= 1y,monto vigente|uf|tasa externa|ois|basis,<= 1y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_1-2y,SPC transado Interbancario 1-2y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,1-2y|Interbancario|SPC transado Interbancario 1-2y,monto vigente|uf|tasa externa|ois|basis,1-2y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_2-5y,SPC transado Interbancario 2-5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,2-5y|Interbancario|SPC transado Interbancario 2-5y,monto vigente|uf|tasa externa|ois|basis,2-5y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Interbancario_> 5y,SPC transado Interbancario > 5y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,> 5y|Interbancario|SPC transado Interbancario > 5y,monto vigente|uf|tasa externa|ois|basis,> 5y,Interbancario,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Residentes no bancos_<= 1y,SPC transado Residentes no bancos <= 1y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,<= 1y|Residentes no bancos|SPC transado Residentes no bancos <= 1y,monto vigente|uf|tasa externa|ois|basis,<= 1y,Residentes no bancos,MM USD,,,
d04_spc_clp_transado_plazo_contraparte,spc_transado_Residentes no bancos_1-2y,SPC transado Residentes no bancos 1-2y,MONTHLY,Derivados > Tasa de interés > Swap Promedio Cámara en pesos > Bancos mensual > Montos transados > Montos transados por contraparte y plazo contractual,swap promedio camara|pesos|bancos|monto transado|plazo contractual|contraparte,1-2y|Residentes no bancos|SPC transado Residentes no bancos 1-2y,monto vigente|uf|tasa externa|ois|basis,1-2y,Residentes no bancos,MM USD,,,
